自動体外式除細動器（ＡＥＤ）設置施設一覧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,令和元年９月１日現在,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,江陽,民間企業など,フィットネスクラブ　ウイング八戸,八戸市江陽二丁目１０－９,22-4171,1,1階サービスカウンター内,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,江陽,民間企業など,株式会社　大成計装,八戸市江陽二丁目１９－３３,22-0388,1,1階事務所内受付そば,8:00～17:00,日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,江陽,民間企業など,株式会社　河原木電業,八戸市江陽二丁目１１－１３,45-2100,1,所在地と同じ,8:00～17:00,日・祝、年末年始(12/29～1/4)、GW、夏季休暇(8/11～16),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,江陽,民間企業など,ライジング江陽,八戸市江陽五丁目２１－２３,43-0117,1,店舗内,8:30～22:45,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,江陽,民間企業など,株式会社フジカツ電設,八戸市江陽二丁目１７－３,44-8298,1,１階玄関ホール,8:00～17:00,土・日・祝・ＧＷ・お盆休み・年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,江陽,病院・福祉施設など,グループホーム　智水寮,八戸市江陽二丁目１８－８,22-0011,1,所在地と同じ,24時間,特になし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,江陽,病院・福祉施設など,社会福祉法人清和会　テレジア保育園,八戸市江陽四丁目１３－３１,22-4567,1,玄関,7:00～19:00,日･祝、年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,江陽,公共施設・機関,八戸市下水道事務所,八戸市江陽三丁目１－１１１,44-8254,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,江陽,公共施設・機関,江陽児童館,八戸市江陽一丁目２１－２,44-7073,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,江陽,教育機関,八戸工業高等学校,八戸市江陽一丁目２－２７,22-7348,1,事務室前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,江陽,教育機関,江陽中学校,八戸市江陽一丁目１－３３,43-1433,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,江陽,教育機関,江陽小学校,八戸市江陽五丁目９－２４,43-8290,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,湊,民間企業など,ユニバース　湊高台店,八戸市湊高台七丁目１－２５,32-2101,1,サービスカウンター,9:00～24:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,湊,民間企業など,ビッグハウス　湊店,八戸市大字湊町字穴畑６,34-3071,1,,9:00～21:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,湊,民間企業など,サイバーパチンコ　新井田店,八戸市湊高台一丁目１－３,32-3238,1,１階ホールカウンター内,8:30～22:45,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,湊,民間企業など,青い森信用金庫　湊高台支店,八戸市湊高台五丁目２－１,35-6611,1,,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,湊,病院・福祉施設など,山田整形外科クリニック,八戸市大字白銀町字浜崖７－２９,32-2700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,湊,病院・福祉施設など,八戸平和病院,八戸市湊高台二丁目４－６,31-2222,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,湊,病院・福祉施設など,橋本耳鼻科クリニック,八戸市湊高台五丁目２０－１８,33-8711,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,湊,病院・福祉施設など,なかざわデイサービスセンター,八戸市湊高台二丁目１２－２,35-2915,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,湊,病院・福祉施設など,たかのはし歯科医院,八戸市大字白銀町字右岩淵通１９－２,31-2323,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,湊,病院・福祉施設など,生活支援ハウス　アイビス,八戸市湊高台二丁目３－２,32-3060,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,湊,病院・福祉施設など,くば小児科クリニック,八戸市湊高台一丁目１２－２６,32-1198,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,湊,公共施設・機関,湊児童館,八戸市大字湊町字中道２７－３,34-5095,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,湊,公共施設・機関,湊公民館,八戸市大字湊町字中道６４－７,33-4411,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,湊,公共施設・機関,八戸市東体育館,八戸市湊高台八丁目１－１,31-3355,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,湊,公共施設・機関,八戸市営魚菜小売市場,八戸市大字湊町字久保３８－１,33-7242,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,湊,公共施設・機関,グレットタワーみなと,八戸市大字湊町字館鼻７８－１６,43-9141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,湊,教育機関,八戸学院短期大学附属幼稚園,八戸市湊高台六丁目１４－５,34-5765,1,職員室,通常7:30～19:00／土曜日8:00～17:00,日・祝、行事等で休園・時間変更あり。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,湊,教育機関,湊小学校,八戸市大字湊町字中道７－１,33-1022,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,湊,教育機関,青潮小学校,八戸市大字湊町字鮫ノロ２３－４,33-1710,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,湊,教育機関,湊中学校,八戸市大字白銀町字右新井田道１３－２,33-0621,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,湊,教育機関,東中学校,八戸市湊高台二丁目１４－８,31-3180,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,湊,教育機関,八戸学院光星高等学校,八戸市湊高台六丁目１４－５,33-4151,2,総務職員室脇、体育館教官室前,8:30～17:00,土・日・祝、創立記念日（4/18）、夏季休日(8/13～16)、年末年始(12/29～1/4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,白銀,民間企業など,タテ石材グループなむ南無プラザ白銀,八戸市大字白銀町字三島上２２－１,0120-44-7676,1,1階事務所側,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,白銀,民間企業など,ユニバース　白銀店,八戸市白銀四丁目１４－２,33-5032,1,サービスカウンター,9:00～23:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,白銀,民間企業など,武輪水産株式会社　第三工場,八戸市大字白銀町字昭和町１,33-1109,1,第三工場内,8:00～16:30,日・祝、会社指定休（概ね隔週水曜日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,白銀,民間企業など,青い森信用金庫　白銀支店,八戸市大字白銀町字三島上２６－１,33-1511,1,,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,白銀,病院・福祉施設など,向井田胃腸科内科医院,八戸市白銀一丁目１０－５,33-2268,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,白銀,病院・福祉施設など,ふなこし内科医院,八戸市大字白銀町大沢頭１９－１,33-0047,1,診察室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,白銀,病院・福祉施設など,東八戸病院,八戸市大字大久保字西ノ平２５－４４０,32-1551,1,受付,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,白銀,病院・福祉施設など,のぞみ園,八戸市大字大久保字大山２２－１０,33-5650,1,医務室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,白銀,病院・福祉施設など,ちぐさワールド福祉合同会社,八戸市大字白銀町字佐部長根２４－１２３４,34-6824,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,白銀,病院・福祉施設など,はまなす医療療育センター,八戸市大字大久保字大塚１７－７２９,31-5005,2,病棟回復室（他1ヶ所）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,白銀,病院・福祉施設など,青森労災病院,八戸市大字白銀町字南ヶ丘１,33-1551,1,1階エスカレーター側,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,白銀,公共施設・機関,老人いこいの家　うみねこ荘,八戸市大字白銀町字砂森４７－１,35-2984,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,白銀,公共施設・機関,八戸市水産会館,八戸市大字白銀町字三島下９５,31-3001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,白銀,公共施設・機関,白銀公民館,八戸市白銀三丁目２－１４,33-1633,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,白銀,公共施設・機関,白銀南公民館,八戸市大字大久保字行人坂３６－６,35-6810,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,白銀,公共施設・機関,白銀児童館,八戸市大字白銀町字小沼１２－４,34-6039,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,白銀,公共施設・機関,東地区給食センター,八戸市大字大久保字浜長根３－１,33-7681,1,１階玄関,8:15～17:00,土･日･祝、年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,白銀,公共施設・機関,八戸市第三魚市場,八戸市大字白銀町字三島下１０１,0178-33-2115（八戸市水産事務所）,1,管理棟1階入札室,6：00～15：00,日、12/31～1/3、その他臨時休場日有り,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,白銀,公共施設・機関,函館税関八戸税関支署,八戸市築港街二丁目１６　八戸港湾合同庁舎内３階,33-0423,1,正面玄関入り口前,8:30～17:15,土･日･祝、GW、お盆休み、年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,白銀,教育機関,白銀小学校,八戸市大字白銀町字大久保道１－１,33-1021,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,白銀,教育機関,白鴎小学校,八戸市大字白銀町字中平１３－３,34-4016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,白銀,教育機関,白銀南小学校,八戸市大字大久保字鷹待場３８－２,33-1141,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,白銀,教育機関,美保野小学校,八戸市大字美保野２,25-5661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,白銀,教育機関,町畑小学校,八戸市大字大久保字下町畑２９－２,35-5133,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,白銀,教育機関,白銀中学校,八戸市大字白銀町字栗沢道３８,33-3284,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,白銀,教育機関,白銀南中学校,八戸市大字大久保字生平１,33-6672,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,白銀,教育機関,八戸第一養護学校,八戸市大字大久保字行人塚１０－１,31-5008,1,保健室前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,白銀,教育機関,八戸北高等学校,八戸市大字大久保字町道８－３,33-0810,1,1階事務室向かい職員トイレ前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,白銀,教育機関,八戸水産高等学校,八戸市大字白銀町字人形沢６－１,33-0023,1,1階正面玄関奥受付事務所前,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,白銀,教育機関,八戸工業大学第一高等学校,八戸市大字白銀町字右岩淵通７－１０,33-5121,1,職員室（１階受付事務室前）,8:00～16:30,土日祝、ゴールデンウイーク、夏季休業、年末年始,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,白銀,教育機関,八戸学院光星高等学校専攻科,八戸市大字美保野１３－１１７,25-6322,1,1階事務室,8:30～17:00,土・日・祝、創立記念日（4/18）、夏季休日(8/13～16)、年末年始(12/29～1/4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,白銀,教育機関,八戸学院大学／１号館,八戸市大字美保野１３－９８,25-2711,1,学務部事務室,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,白銀,教育機関,八戸学院大学／２号館,八戸市大字美保野１３－９８,25-2711,1,２階廊下,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,白銀,教育機関,八戸学院総合体育館／４号館,八戸市大字美保野１３－９８,25-2711,1,総合体育館事務室前,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,白銀,教育機関,八戸学院大学会館／５号館,八戸市大字美保野１３－９８,25-2711,1,１階ホール,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,白銀,教育機関,八戸学院大学・八戸学院短期大学総合実習館／８号館,八戸市大字美保野１３－９８,25-2711,1,総合実習館事務室前,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,白銀,教育機関,八戸学院短期大学,八戸市大字美保野１３－９８,25-2711,3,学生ホール、事務室前、体育館,8:30～17:30,土・日・祝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,鮫,民間企業など,八戸シーガルビューホテル　花と月の渚,八戸市大字鮫町字小舟渡平９－１９,33-3636,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,鮫,民間企業など,武輪水産株式会社　本社工場,八戸市大字鮫町字下手代森３２－１,33-0121,1,本社工場内,8:00～16:30,日・祝、会社指定休（概ね隔週水曜日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,鮫,民間企業など,武輪水産株式会社　第二工場,八戸市大字鮫町字山四郎蒔目１７－１８７,33-4101,1,第二工場内,8:00～16:30,日・祝、会社指定休（概ね隔週水曜日）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,鮫,病院・福祉施設など,有料老人ホーム　おおひらき,八戸市大字鮫町字大開１５－２,35-2525,1,,24時間,無休,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,鮫,病院・福祉施設など,小西耳鼻咽喉科医院,八戸市大字鮫町字ハンノ木沢６,33-1102,1,待合室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,鮫,公共施設・機関,八戸市動物死体焼却場,八戸市大字鮫町字大草離３－１４,33-3044,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,鮫,公共施設・機関,水産科学館マリエント,八戸市大字鮫町字下松苗場１４－３３,33-7800,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,鮫,公共施設・機関,白浜生活センター,八戸市大字鮫町字浜道通２０－６,38-2844,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,鮫,公共施設・機関,鮫児童館,八戸市大字鮫町字住吉町３８－４,34-3390,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,鮫,公共施設・機関,鮫公民館,八戸市大字鮫町字住吉町１４－１,33-1942,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,鮫,公共施設・機関,蕪島休憩所,八戸市大字鮫町字鮫93番地先,51-6464,1,１階受付横の壁面,9：00～17：00（12月から翌年３月までは、9：00～16:00）,12/29～1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,鮫,教育機関,鮫中学校,八戸市大字鮫町字古馬屋２３－５,33-0727,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,鮫,教育機関,鮫小学校,八戸市大字鮫町字上手代森１９,33-2010,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,根城,民間企業など,株式会社　近田会計事務所,八戸市根城八丁目６－１１,43-7051,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,根城,民間企業など,ユニバース　八戸ニュータウン店,八戸市北白山台五丁目１－７,70-1281,1,サービスカウンター,9:00～23:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,根城,民間企業など,八戸燃料㈱　灯油センター,八戸市北白山台二丁目１－５,23-5555,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,根城,民間企業など,八戸燃料㈱　セルフＳＳ根城,八戸市根城七丁目１１－１４,24-6655,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,根城,民間企業など,八戸燃料㈱　笹子ＳＳ,八戸市大字是川字三十刈頭９－６５,96-6488,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,根城,民間企業など,株式会社　大興,八戸市西白山台五丁目１３－１３,27-8111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,根城,民間企業など,ユニバース　根城店,八戸市根城四丁目１０－１,44-7141,1,サービスカウンター,9:00～23:00,元日,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,根城,民間企業など,株式会社　ネクスコ・メンテナンス東北,八戸市北白山台五丁目５－１,70-7273,1,,8:30～17:30,土・日・祝、12/29～1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,根城,民間企業など,ハロックス株式会社,八戸市北白山台五丁目５－２,70-1441,1,,8:00～17:00,土日祝、8/13～16、12/29～1/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,根城,民間企業など,みちのく銀行　根城支店,八戸市売市三丁目２－８,47-8800,1,,9:00～17:00,土・日・祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,根城,民間企業など,（株）ＴＴＫ　八戸営業所,八戸市西白山台六丁目８－２,32-7400,1,玄関ホール入口付近　右側壁,8:30～17:00,土・日・祝、お盆（8/13～16）、年末年始（12/29～1/3）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,根城,民間企業など,（株）サンデー　八戸根城店,八戸市根城六丁目２２－１０,22-5040,1,,7:00～21:00,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,根城,民間企業など,（株）ガイア　根城店,八戸市大字根城字馬場頭４０－１,73-3718,1,景品カウンター,8:30～22:50,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,根城,民間企業など,青い森信用金庫　根城支店,八戸市根城五丁目２－１,44-5001,1,１階営業室ロビー,9:00～17:00,土･日･祝、年末年始(12/31～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,根城,民間企業など,北奥羽広域水道総合サービス株式会社,八戸市北白山台二丁目６－１,70-5017,1,正面玄関入口,8:15～17:15,土・日・祝、GW、年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,根城,病院・福祉施設など,松橋眼科クリニック,八戸市売市二丁目１２－３２,73-3315,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,根城,病院・福祉施設など,八戸赤十字病院,八戸市大字田面木字中明戸２,27-3111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,根城,病院・福祉施設など,八戸市休日夜間急病診療所,八戸市根城八丁目８－３９,22-2277,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,根城,病院・福祉施設など,長坂保育園,八戸市根城八丁目８－３４,45-8126,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,根城,病院・福祉施設など,滝澤整形外科クリニック,八戸市根城一丁目２８－１,73-3232,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,根城,病院・福祉施設など,青南病院,八戸市大字田面木字赤坂１６－３,27-2016,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,根城,病院・福祉施設など,佐々木泌尿器科病院,八戸市根城四丁目６－２３,47-0007,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,根城,病院・福祉施設など,小菊荘,八戸市根城五丁目４－９,22-3561,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,根城,病院・福祉施設など,浩々学園,八戸市根城七丁目８－４６,22-2233,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,根城,病院・福祉施設など,社会福祉法人　南売市保育園,八戸市売市一丁目８－１０,45-2625,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,根城,病院・福祉施設など,社会福祉法人東幸会　特別養護老人ホームサンシャイン,八戸市東白山台二丁目２－１,23-5050,1,介護課事務室,24時間,なし,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,根城,公共施設・機関,八戸ニュータウン児童館,八戸市東白山台三丁目１３－２０,27-6370,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,根城,公共施設・機関,八戸市博物館,八戸市大字根城字東構３５－１,44-8111,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,根城,公共施設・機関,八戸市体育館,八戸市大字売市字輿遊下３,22-7181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,根城,公共施設・機関,八戸市総合福祉会館（はちふくプラザ　ねじょう）,八戸市根城八丁目８－１５５,47-1651,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,根城,公共施設・機関,八戸市スポーツ研修センター,八戸市大字売市字輿遊下３,22-7181,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,根城,公共施設・機関,八戸圏域水道企業団　本庁舎,八戸市南白山台一丁目１１－１,70-7000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,根城,公共施設・機関,八戸圏域水道企業団　白山浄水場,八戸市南白山台一丁目１１－１,27-0300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,根城,公共施設・機関,白山台公民館,八戸市北白山台五丁目２－５,38-9788,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,根城,公共施設・機関,根城コミュニティセンター,八戸市売市四丁目７－６,44-8993,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,根城,公共施設・機関,根城公民館,八戸市根城三丁目１１－２２,44-6927,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,根城,公共施設・機関,田面木公民館,八戸市大字田面木字上野道下夕３０－１,27-3333,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,根城,公共施設・機関,史跡　根城の広場,八戸市大字根城字根城４７,41-1726,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,根城,公共施設・機関,八戸市総合福祉会館 ,八戸市根城八丁目8-155,47-1651,1,２階警備室（受付）横の壁面,9:00～21:00,年末年始(12/29～1/3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,根城,公共施設・機関,ＹＳアリーナ,八戸市大字売市字輿遊下3番地,43-9544,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,根城,教育機関,白山台中学校,八戸市西白山台三丁目２４－１,70-1570,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
